,Discounted Price,Discounted Product ID
0,$46.41,d15be8c798da3ca8
1,$16.27,211ecc364b422b63
2,$12.70,54e1958c90ade50d
3,$70.57,852ecf123201b922
4,$37.78,8a00db2b2dad6dfd
5,$44.83,5e3bb0ff226f70ab
6,$17.05,816b42240729132a
7,$32.27,8ea409ea2b010e43
8,$81.78,03499171223edc62
9,$78.04,402318625c9252c1
10,$5.26,d224c42d9363ff03
11,$85.78,588c9cdee75f1923
12,$34.65,b01ef6b396d7254d
13,$7.11,8d8f6154cd463592
14,$13.19,05f4960a1b2019e9
15,$28.66,20e13f50200b6045
16,$26.06,3f7e66425f6b9cfa
17,$84.46,e86a3aa6ab06aad2
18,$5.63,2180ec1ae4ebd790
19,$32.08,4014891decff13cb
20,$30.74,e277905ffaba9a80
21,$69.59,d5317039e1d1dcaa
22,$22.95,b3f5b4f04d3590f8
23,$55.53,c0b434a926766913
24,$85.44,23b6ae605999100c
25,$37.67,621574614ff40aa8
26,$19.18,fd1ff3016e609134
27,$87.80,a1b36431a9589f62
28,$5.17,3ff7049349d29b28
29,$9.16,4c7c357ea8452080
30,$10.03,db3e7766b88ea76a
31,$55.15,5673b8f9dbd5b7ee
32,$10.39,29a29f0b2c58d056
33,$17.58,12c98900d8b2b6ac
34,$95.27,45c4348c156568d7
35,$15.07,2862bfcd1f9c7d52
36,$47.43,13ca7af47f4a08dd
37,$68.38,d8db11cee47644f8
38,$48.42,9c28b36c670296d3
39,$51.52,a5c68a35a1da8761
40,$17.38,067cffdf01455b9b
41,$5.92,b9b7483767b1ba3e
42,$13.22,bddcbd0d670f2b7a
43,$15.71,87c8432d0960c162
44,$37.19,745305a81317e9d6
45,$54.69,55eaa7c0d593d4f2
46,$72.52,0a05935a6be2c29b
47,$67.88,0f33fd97abb9ebd0
48,$51.77,251b71231db75014
49,$55.74,db3fc019b7de4138
50,$55.45,c65710b8e9d1c656
51,$16.74,697d1b6cac347011
52,$49.66,a97ee712ea065b76
53,$65.33,fa7b07c27fac3cfe
54,$40.10,ce04faede5b1689a
55,$68.86,92a846a62242f5d9
56,$33.51,5a95bdaaca44e636
57,$95.57,a5ae94586481589e
58,$74.39,bcdec03a7a09e830
59,$19.24,7d3825540fc0cbe4
60,$27.17,90db13b10d6ff24c
61,$65.78,a3d0f1c241fa7e9c
62,$76.95,c7f9951a527a7709
63,$48.27,f23363518e479487
64,$30.16,21aa4d5235b79b10
65,$62.11,df42bc03e1d68708
66,$23.69,f6bcc4ccb1bf7636
67,$63.41,5d508830098c7fca
68,$16.45,e603cd2f4d1b5ff5
69,$74.86,370546d5f7bdf386
70,$33.16,82d6ec3c71bbfd8e
71,$99.12,fa32700b98e978ef
72,$53.48,cb4b3a0c8fe97293
73,$5.88,f9f5b5f1f7e5cebe
74,$44.31,f7d812448cf6b3f0
75,$53.55,a0a58a9d512b9f88
76,$17.25,4cf27a8ecc545923
77,$25.39,e90199c239211bbb
78,$81.93,ef10b108748af779
79,$40.36,fe91c2028b63d491
80,$18.49,2ddd76b3b3026d82
81,$96.84,c9d28731b7b8b10f
82,$36.84,9cefb0a35be4195a
83,$44.64,99032a2d9cc03cb7
84,$63.45,8149f183f9940f81
85,$85.40,9be8de91ff424a1f
86,$46.75,d23a3550eb9c208b
87,$71.76,ed7e9537a70a6ef5
88,$75.41,fad40043b429023c
89,$92.36,b37fd0883a2b6725
90,$18.68,895a973b49fcfbd3
91,$88.01,e71a8bc37c29357d
92,$37.43,bd9e85e324a46285
93,$73.47,fddfc3b31c9808dd
94,$12.71,a6b8f99769d91e24
95,$71.18,b307afacc4b2c131
96,$52.71,a0d29517d775838c
97,$23.48,ddf36b9f73459242
98,$30.37,5ccf4264969276b8
99,$19.18,d81b8c4d2916f3a9
100,$98.26,7de750f682647379
101,$22.96,16061c0090c63d20
102,$68.93,57714d873b05202d
103,$59.83,eb7919537e1fedc7
104,$82.77,f6fa2694f25e5b5d
105,$85.22,264e5e2bce6c2eb5
106,$94.53,6b8a4fef912a2e6b
107,$43.27,4d098dc4584a5cfd
108,$39.19,6d1c1b3866425ebf
109,$61.21,15d680027c6641bc
110,$40.35,af564a2147b262e2
