,Original Price,Product ID
0,$16.02,7ead592c1473fb68
1,$74.66,08f49b40b1aa7302
2,$33.88,665e02c0940dae6a
3,$63.20,c567d67a6d01e6a9
4,$56.30,964615da669d102a
5,$27.97,0abc754d44f03461
6,$54.34,5a86b9ea607a4e17
7,$28.04,500d5c260d212e9a
8,$14.82,02ec722d8467815c
9,$89.36,2b869631a6a21f38
10,$23.11,ef95211ca3994a0b
11,$73.16,6af54ba4cd2af540
12,$45.00,04017c4a00c060cb
13,$56.37,42a2a81ce3325481
14,$61.06,dc8d273041482f6b
15,$9.50,1dbb38c172e1d6dc
16,$46.22,0114450479c75fca
17,$54.80,9a1a8153053be091
18,$86.12,65dd2d161f4feed9
19,$86.26,96d6642fb7e97ee3
20,$18.73,b8f568fc85c264f3
21,$53.56,b520ba324e7c85e9
22,$93.86,0b0626c5534cfd50
23,$69.02,953aa2be6b9500a8
24,$81.23,f4e4dfaaae004b9a
25,$82.49,0b86792b4252a121
26,$29.07,e5660ce8fe7b223a
27,$55.46,0f7985fb0d2fa65a
28,$56.27,710a05f90289a84b
29,$6.13,a0ea3ef184195dfc
30,$23.02,17644b9d26d70ae9
31,$8.53,e2b81cefc27a651d
32,$86.06,d3b8dadf428ecaf6
33,$41.49,bb0a84f13fc3045c
34,$27.92,95898ff5f990f2bd
35,$10.32,ddb8de0092f92db6
36,$28.47,75a2eddd9e40067f
37,$53.93,5b4a9f16df47cb5f
38,$68.01,237a684326f60abe
39,$57.12,e7e980ca10b27311
40,$53.90,d5e83c340c1f6b4e
41,$21.61,991d1ccfe590f6b6
42,$99.98,66d8fe9ec5529204
43,$75.83,234eb117a4c72adf
44,$79.69,2c49fc9ed38c2359
45,$44.33,4e142ab43c9cb649
46,$19.48,4831cc94c8433c0a
47,$32.08,43fd4c0947d5dbec
48,$50.11,540601ec820aa4a1
49,$47.63,0d0a45e8678d5e2d
50,$70.89,725cb4774c555a7a
51,$22.62,1447744e9665e0c8
52,$55.38,18602f4e12007754
53,$39.83,c3ddd38b0adefa6f
54,$70.47,9ce09f8f5cf01ec4
55,$99.67,e1939bffcac17d94
56,$69.41,f3ab7f0683079e89
57,$57.88,d874b65e2f2b5d74
58,$97.20,d780c587bfe0513e
59,$88.17,447f6870896b6a7b
60,$73.01,8b034d7db67349cf
61,$13.75,5df1896c34b68e5b
62,$90.36,a550a2f2a791b7cc
63,$70.68,ccf921383575a77d
64,$53.68,0eed7c91e6091815
65,$33.58,ca9e1db83d6260a7
66,$47.59,77cfc4b341468f35
67,$9.29,47c8e785ac35a06b
68,$31.91,2684970a16ce7bd2
69,$11.51,bac0e9da35402c8c
70,$95.62,6432bf37529372d7
71,$88.65,b6b7c5dc1a2ea1cd
72,$53.40,d9915e4e0c0d4134
73,$79.55,bf93bb190d381376
74,$70.47,adb5f567dd79b1b4
75,$95.24,ea8a1192ed03de2b
76,$51.54,2d2eb9083084f0bc
77,$11.78,7e9a05ed48b4eff7
78,$7.94,8423e54d47b6f8ac
79,$15.45,bbdd34f3116927c6
80,$29.98,b20dc3387e2bbc11
81,$51.28,cb137498df999a57
82,$25.48,a3a8428289bbb75d
83,$54.81,1e82ff38715cd744
84,$86.99,8c5fe9ef0dd8243a
85,$9.53,d484584487c94051
86,$12.94,4816114ef1a9d124
87,$34.80,e1afc23ec500e0bb
88,$76.76,800f993417cd6517
89,$58.82,21ba518325d88059
90,$51.77,25ceb06dd50fe63f
91,$85.92,e7debe8ced631561
92,$41.39,9992915647e251fd
93,$32.00,7d8bc9226a815099
94,$54.24,b28d368689984455
95,$37.86,d288573b84046515
96,$18.31,195577d5389094fc
97,$61.79,bcf535becc17df79
98,$25.85,bba09d9f5a673f75
99,$48.89,363980b27289b3ba
100,$10.27,8e6f6cd582356418
101,$46.92,5338753a3ec22f5c
102,$96.88,d9fefafd56bd84d4
103,$23.98,d3a6e4396af189ef
104,$67.29,141a0d144aecbc0b
105,$45.74,fd5fb0e8f8dea8f4
106,$30.81,6b762d2dc968cdd0
107,$70.89,d3a1d22f35d986e0
108,$38.30,4cbce34640757664
109,$62.22,c1b2ae8539cfd00c
110,$95.90,7b7dc626c5878546
111,$29.82,1771b5c0985f5f6c
112,$90.47,9896e458ef2a118b
113,$74.32,8aa55c07f74ea33e
114,$52.72,eb687e054c2d3eae
115,$52.58,05f1e45ae86155de
116,$11.14,89c2aded6a64048d
117,$79.81,f75190adfd57b2c6
118,$29.37,af6ff7671c5a0e17
119,$49.10,386fc04749f6973d
120,$57.33,12b2f27c7a30f3ce
121,$94.88,04ea7ecd111907b7
122,$35.71,795086f83a7f4d80
123,$72.02,dbb16232be9f5193
124,$88.03,9e27b45b70510754
125,$80.48,6e9b991834f034ca
126,$27.65,bdd04fd5990ee58d
127,$37.65,488678e7bfef17d9
128,$12.05,8ed1f09e2fd5e910
129,$54.33,dec9ccec6f9b4c68
130,$78.90,cf278ae6a4ef44a9
131,$71.95,ff11ae2b8a7813a8
132,$66.86,44e959e16b7e6c7c
133,$32.00,c852d587f2248aff
134,$56.94,6dcee8e5162d0727
135,$99.95,5c61da5d962979d5
136,$40.74,f795ea1b9912c950
137,$46.91,fd63e6ea02c4184e
138,$32.56,c67da8c7a96ff021
139,$44.24,37459f82f43ed434
140,$47.90,f63ba9344e427e30
141,$67.75,800d1b405ae706b0
142,$85.21,f643c8fce4c728d5
143,$45.94,37557afef3d0f817
144,$84.68,f99d44c8c97dc49f
145,$77.13,183e7ce09794fd58
146,$41.23,4623879b1c7c6996
147,$74.39,65244f87abb1653e
148,$28.47,a5602a1b9c728912
149,$90.02,18473b8c8b1a7a78
150,$85.64,c6093d79eff3f7d0
151,$78.45,e357b6a9b4dc58fd
152,$16.96,163523ca50a9f9ea
153,$12.44,52c787b9cae3cd83
154,$69.58,9de3899ea8cfe56e
155,$24.40,084c81a96eb5a8ec
156,$32.27,ec858e5af9274c4c
157,$94.65,a62a780ca30d5841
158,$92.51,49606fd6033b229c
159,$19.83,adbe7bbe426b234e
160,$15.42,a4acdd7e2bf9b851
161,$94.97,2d4654e1eb682578
162,$95.08,5c51d3982a4ffbb6
163,$64.22,72517ffcdcbd4c97
164,$98.38,1a984cf9f52c2a8d
165,$78.68,f9e437af88c2b6b6
166,$73.15,788b03646e9148db
167,$41.04,9f71b5ceb74649aa
168,$79.07,cb712f44c226e34b
169,$16.48,c1d5d3ec68d6ba7d
170,$100.96,382ff4b697b6cfc9
171,$51.40,55f974f91527c5f4
172,$95.99,6f0e59729de6634a
173,$62.51,783ab65f85bf7b69
174,$21.22,3a4fb2a35017275c
175,$93.94,f537b57ccba62223
176,$7.57,87dfef47f8f8fb0b
177,$39.60,83c99bcaadb8ae0b
178,$47.04,dc225001b0a6a367
179,$92.32,73e485dabf6f01b3
180,$8.25,ed60b75dd6024901
181,$47.44,602b8c5cc7b96d83
182,$39.47,82d0193f1773792a
183,$25.47,740cae525465bb5e
184,$90.16,c7f677ae6575be95
185,$18.40,732168e5b870247c
186,$29.52,efe01c27bb1ef4a0
187,$31.74,7b83317e32620409
188,$30.39,40a2c52af99b64e7
189,$74.72,ed7e9537a70a6ef5
190,$69.46,2913c59396bec7b4
191,$36.72,d3e570c3fa29dac6
192,$22.35,2205b13e82d6124e
193,$12.41,e9612c749e742d7c
194,$46.53,9e78266a71c1dd86
195,$75.69,f59d58d6b72603f8
196,$19.67,7173fd7abe75c9de
197,$15.12,f411257029e803f6
198,$84.41,15d896a5ede1ebbc
199,$72.34,88c693ee982d36a3
200,$63.48,87cdd8363ae529e8
201,$89.22,5279bc66c0e33764
202,$9.57,94a6d0407e236900
203,$95.97,f3dbed33a872b4ec
204,$17.04,efdb05cae4704260
205,$40.60,6373135fd02cf65a
206,$38.38,0cc8b61f11e8e605
207,$99.85,b808b345c4ac5d2c
208,$36.95,a015b9597fca9ba4
209,$92.97,2da54ba6da13570d
210,$92.71,df549a30034f8740
